,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,url_list,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,salary,Team,Minutes,BSR Off.,BSR Def.,BSR Total,OOR Off.,OOR Def.,OOR Total,OVR Off.,OVR Def.,OVR total,WAR,cluster
1,Ante Zizic,C,23,CLE,4,0,64,7.5,13.6,0.556,0,0,0,7.5,13.6,0.556,3,3.8,0.8,3.8,6.8,10.6,0,0.8,0.8,0.8,6,18.1,124,114,https://www.basketball-reference.com/players/z/zizican01.html,14,0.594,0,0.278,8.2,15.4,11.8,0,0.8,1.3,4.7,14.2,0.1,0,0.1,0.111,-3,-4.2,-7.2,-0.1,"$2,281,800 ",Cavaliers,64,-3.8,-2.4,-6.3,1.9,-8.3,-6.4,-3,-3.4,-6.4,-0.1,1
2,Boban Marjanovic,C,31,DAL,7,1,96,11.5,22,0.523,0,0.5,0,11.5,21.5,0.535,4,5,0.8,6,12.5,18.5,2.5,1,0.5,3.5,6,27,111,107,https://www.basketball-reference.com/players/m/marjabo01.html,19.5,0.558,0.023,0.227,13.5,26.4,20.1,8.2,1,0.9,12.6,24.5,0.2,0.1,0.3,0.137,-2,-1.8,-3.8,0,"$3,500,000 ",Mavericks,96,-0.2,-4.9,-5.1,15.4,0.1,15.5,2.2,-4.3,-2.1,0,9
3,Bogdan Bogdanovic,SG,27,SAC,14,0,387,9.2,21.4,0.432,5.3,12.4,0.429,3.9,9,0.437,3.4,4.6,0.75,0.3,4.8,5.1,8.3,2.7,0.1,3.3,3.7,27.2,115,111,https://www.basketball-reference.com/players/b/bogdabo01.html,18.4,0.584,0.582,0.196,0.6,11.2,5.7,27.8,2.7,0.3,13.1,23,0.7,0.2,1,0.132,4.1,-1.9,2.1,0.4,"$8,529,386 ",Kings,387,4.6,-0.2,4.4,-3.4,1.6,-1.8,3.5,0.1,3.7,1.3,7
4,Bojan Bogdanovic,SF,30,UTA,15,15,493,10.5,22.6,0.464,4.5,10,0.447,6,12.6,0.477,4.7,5.4,0.875,1,5.1,6.1,3.1,1.1,0.4,3.9,3.1,30.1,108,104,https://www.basketball-reference.com/players/b/bogdabo02.html,16.9,0.604,0.442,0.24,2.3,11,6.9,11.6,1.1,0.7,13.4,26.2,0.6,0.7,1.3,0.13,1.6,-0.4,1.2,0.4,"$17,000,000 ",Jazz,493,1,0.3,1.3,8.1,1.5,9.6,2.2,0.5,2.7,1.4,7
7,Chris Chiozza,PG,24,WAS,2,0,35,2.6,11.9,0.222,2.6,5.3,0.5,0,6.6,0,0,0,0,0,5.3,5.3,9.2,2.6,2.6,4,7.9,7.9,79,111,https://www.basketball-reference.com/players/c/chiozch01.html,5.1,0.333,0.444,0,0,12.6,6.2,22.4,2.6,4.8,25,14,-0.1,0,0,-0.062,-6.1,1.4,-4.7,0,0,Wizards,35,-4.6,8,3.4,-19.8,23.1,3.3,-7.4,11,3.6,0.1,3
8,Chris Clemons,SG,22,HOU,11,0,100,8.2,18.7,0.439,6.4,15.5,0.412,1.8,3.2,0.571,1.4,1.8,0.75,0.9,3.2,4.1,2.7,0.9,0.9,2.3,5,24.1,116,113,https://www.basketball-reference.com/players/c/clemoch01.html,13.9,0.635,0.825,0.1,2.1,5.2,3.6,6.3,0.9,1.7,10.7,19.3,0.2,0.1,0.2,0.107,1.4,-3.5,-2.1,0,0,Rockets,100,3.7,2.4,6.1,-1.7,0.6,-1.1,2.9,2.3,5.2,0.4,2
9,Chris Silva,PF,23,MIA,15,0,148,7.4,10.9,0.676,0,0.6,0,7.4,10.3,0.719,3.5,5.1,0.688,9.6,9.9,19.5,3.5,1.3,3.8,7,12.5,18.3,110,98,https://www.basketball-reference.com/players/s/silvach01.html,17.5,0.694,0.059,0.471,24.6,22.6,23.5,11.3,1.3,7.9,34.9,18.3,0.2,0.3,0.5,0.169,-0.3,5,4.7,0.2,0,Heat,148,-3,3.1,0.2,3.1,2.6,5.7,-2.1,3,0.9,0.3,4
10,CJ Miles,SG,32,WAS,9,0,140,5.9,17.1,0.346,3.6,10.2,0.355,2.3,6.9,0.333,4,4.9,0.8,1.3,2.3,3.6,3.3,2.6,1.3,1.3,4,19.4,108,115,https://www.basketball-reference.com/players/m/milescj01.html,12.7,0.503,0.6,0.26,2.4,5.7,4,9,2.7,2.5,5.1,17.7,0.1,0,0.2,0.058,0.3,-1.4,-1.1,0,"$8,730,158 ",Wizards,140,1.5,0,1.5,-0.6,-6.9,-7.5,1.2,-1.1,0.1,0.2,8
12,Damion Lee,SG,27,GSW,11,0,241,6.8,17.8,0.385,2.3,6.8,0.343,4.5,11,0.411,5.5,6.5,0.848,1.8,6.6,8.4,3.9,1.6,0,2.5,3.5,21.5,105,117,https://www.basketball-reference.com/players/l/leeda03.html,12.8,0.521,0.385,0.363,3.9,15.4,9.5,12.4,1.6,0,11,20.6,0.1,0,0.2,0.031,-1.2,-3,-4.2,-0.1,0,Warriors,241,-0.3,-0.9,-1.1,-1.8,1.4,-0.4,-0.5,-0.5,-1,0.2,8
13,Danuel House Jr.,SF,26,HOU,13,12,382,5.7,12.5,0.457,3.8,8.7,0.438,1.9,3.8,0.5,2.6,3.2,0.815,1.5,5.5,7,1.7,1.9,1.2,1.4,3.2,17.9,125,109,https://www.basketball-reference.com/players/h/houseda01.html,14.8,0.65,0.699,0.247,3.5,13.2,8.3,5.7,2,2.4,10.4,13.4,0.7,0.4,1.1,0.146,1.2,0.9,2.1,0.4,"$3,540,000 ",Rockets,382,-0.1,3.8,3.8,2.7,2.3,5.1,0.3,3.8,4.1,1.3,5
15,Dario Saric,PF,25,PHO,16,16,431,6.6,15.7,0.421,3,7.8,0.389,3.6,7.9,0.452,1.6,2.1,0.789,2.4,9.1,11.5,3.5,1.7,0.5,2.4,4,17.9,104,106,https://www.basketball-reference.com/players/s/saricda01.html,11.5,0.516,0.493,0.142,6,18.7,12.2,10.8,1.9,0.9,13.4,17.5,0,0.6,0.6,0.073,-1.1,1.3,0.2,0.2,"$3,481,986 ",Suns,431,-1.4,0.2,-1.2,4.4,-0.8,3.6,-0.5,0,-0.5,0.5,6
18,Davis Bertans,PF,27,WAS,14,0,391,7.3,16.1,0.456,5.5,12.5,0.443,1.8,3.5,0.5,1.3,1.4,0.917,1.1,6.5,7.6,3.1,1.1,0.7,1.2,4,21.5,126,116,https://www.basketball-reference.com/players/b/bertada01.html,15.3,0.647,0.77,0.095,2.3,15.2,8.7,8.4,1,1.2,7.1,15.9,0.8,0,0.8,0.11,3.7,-2.1,1.7,0.3,"$7,000,000 ",Wizards,391,3.3,-0.6,2.7,3.6,5.3,8.9,3.5,0.4,3.9,1.3,5
21,Dennis Schroder,PG,26,OKC,15,0,431,9.5,21.9,0.434,1.9,7.3,0.262,7.6,14.6,0.519,3.7,4.8,0.767,0.8,6.6,7.4,6.7,1.5,0.4,4.9,4.5,24.6,95,108,https://www.basketball-reference.com/players/s/schrode01.html,12.7,0.512,0.332,0.219,1.8,14.4,8.3,23.3,1.5,0.8,17,26.3,-0.3,0.4,0.1,0.014,-2.1,-0.3,-2.4,0,"$15,500,000 ",Thunder,431,-1.8,1.9,0.1,-0.8,15.6,14.8,-1.7,4.2,2.5,1.2,8
22,Dennis Smith Jr.,PG,22,NYK,10,0,150,7.2,20.3,0.355,2.3,5.9,0.389,4.9,14.4,0.341,1.6,2.6,0.625,1.6,2.3,3.9,8.2,1.3,0.3,4.2,7.5,18.3,91,115,https://www.basketball-reference.com/players/s/smithde03.html,5.6,0.422,0.275,0.157,3.8,4.3,4.1,24,1.1,0.8,18,21.7,-0.2,0,-0.2,-0.069,-4.9,-3.7,-8.6,-0.2,"$4,463,640 ",Knicks,150,-3.2,-6.1,-9.4,-7.2,-5.5,-12.7,-4,-6.3,-10.3,-0.6,3
23,Derrick Jones Jr.,SF,22,MIA,4,0,57,10,16.6,0.6,0.8,3.3,0.25,9.2,13.3,0.688,2.5,2.5,1,2.5,4.2,6.7,1.7,2.5,0,1.7,9.2,23.3,124,104,https://www.basketball-reference.com/players/j/jonesde02.html,16.1,0.657,0.2,0.15,6.4,9.5,8,5.8,2.5,0,8.6,17.5,0.1,0.1,0.2,0.187,0.7,-0.9,-0.2,0,"$1,645,357 ",Heat,57,-1,5,4,5.2,-2.7,2.5,0,3.8,3.8,0.2,1
28,Dzanan Musa,SF,20,BRK,11,0,172,5.1,15.1,0.339,1.3,7.5,0.179,3.8,7.5,0.5,4.6,5.9,0.773,1.6,7.5,9.1,3.5,1.6,0,3.8,2.2,16.1,89,109,https://www.basketball-reference.com/players/m/musadz01.html,8.4,0.468,0.5,0.4,4.2,16.9,10.6,9.1,1.5,0,16.9,19.2,-0.1,0.1,0,-0.006,-4.4,-1.4,-5.8,-0.1,"$1,911,600 ",Nets,172,-3.6,1.6,-1.9,-9.6,3.4,-6.3,-4.8,2,-2.7,0,6
29,Ersan Ilyasova,PF,32,MIL,14,0,221,5.7,13.9,0.412,1.6,7.5,0.216,4.1,6.3,0.645,3.3,3.7,0.889,3.1,10.6,13.7,1.6,1.2,1,1,5.5,16.3,114,102,https://www.basketball-reference.com/players/i/ilyaser01.html,13,0.527,0.544,0.265,6.9,22,14.8,4.7,1.2,1.9,6.2,14.9,0.3,0.4,0.7,0.147,-1.1,0.2,-1,0.1,"$7,000,000 ",Bucks,221,0.2,4,4.2,-3.4,-4,-7.4,-0.4,2.7,2.3,0.6,1
31,Gary Trent Jr.,SG,21,POR,11,1,93,7.5,16.5,0.455,5.5,11.5,0.478,2,5,0.4,0,0,0,1.5,4.5,6,2.5,1,1,1,3.5,20.5,125,115,https://www.basketball-reference.com/players/t/trentga02.html,15,0.621,0.697,0,3.3,9.8,6.5,7.8,1,1.8,5.7,15.6,0.2,0,0.2,0.121,1.9,-2,-0.2,0,"$1,416,852 ",Trail Blazers,93,4.5,-3.5,0.9,-0.1,-9.2,-9.3,4,-4.6,-0.6,0.1,2
33,Glenn Robinson III,SF,26,GSW,17,17,534,6.8,14.2,0.478,1.8,4.5,0.392,5,9.7,0.518,1.5,1.7,0.895,2.7,4.9,7.7,2.9,1.4,0.2,1.4,2.5,16.9,115,118,https://www.basketball-reference.com/players/r/robingl02.html,13,0.564,0.317,0.118,6.1,11.4,8.7,9.2,1.4,0.3,8.6,14.5,0.7,-0.1,0.6,0.058,0.4,-1.8,-1.4,0.1,"$1,882,867 ",Warriors,534,-0.4,-1.5,-1.9,2.4,-4.7,-2.3,0.1,-2,-2,0.2,2
34,Goran Dragic,PG,33,MIA,14,0,398,8.6,18.8,0.456,3.9,9.2,0.429,4.6,9.7,0.481,5.6,7.5,0.746,0.5,5,5.5,8.3,1,0.5,4.5,2.7,26.7,112,107,https://www.basketball-reference.com/players/d/dragigo01.html,16.9,0.603,0.487,0.399,1.2,11.4,6.6,27.7,1,1,17,24.1,0.7,0.5,1.2,0.145,1.5,-1.4,0.1,0.2,"$19,217,900 ",Heat,398,3.5,-2.7,0.8,0.6,-7.7,-7,3.2,-3.7,-0.4,0.5,7
35,Harry Giles III,PF,21,SAC,5,0,38,11.6,28.3,0.409,0,0,0,11.6,28.3,0.409,2.6,2.6,1,3.9,3.9,7.7,5.1,1.3,2.6,3.9,11.6,25.7,92,111,https://www.basketball-reference.com/players/g/gilesha01.html,11.1,0.437,0,0.091,8.8,9.3,9.1,18.6,1.3,4.9,11.6,29.5,-0.1,0,0,-0.033,-4.7,-0.6,-5.4,0,"$2,578,800 ",Kings,38,-7.5,-4.6,-12.1,-11,-2.6,-13.5,-8.4,-4.5,-12.9,-0.2,3
38,Jakob Poeltl,C,24,SAS,17,3,289,6.9,11.9,0.575,0,0,0,6.9,11.9,0.575,2.3,4.3,0.538,6.2,9.2,15.4,4.3,1.5,2.1,2.8,5.2,16,118,111,https://www.basketball-reference.com/players/p/poeltja01.html,17.8,0.58,0,0.356,13.7,21.2,17.4,12.2,1.5,3.7,16.8,14.7,0.5,0.2,0.8,0.125,0.3,1.7,2,0.3,"$3,754,886 ",Spurs,289,0.1,4.2,4.3,6.8,2,8.8,1.2,4.1,5.4,1.2,4
40,James Ennis III,SF,29,PHI,16,0,261,7.9,14.2,0.551,2.2,5.5,0.4,5.7,8.8,0.646,3.1,4.4,0.708,4.2,6.6,10.8,2.2,1.1,0.5,2.2,5.7,21,124,106,https://www.basketball-reference.com/players/e/ennisja01.html,16.3,0.649,0.385,0.308,10,15.1,12.6,6.5,1.1,1,11.9,16.2,0.6,0.3,0.9,0.174,1.8,-0.9,0.9,0.2,"$1,882,867 ",76ers,261,2,-1,1,5.7,0.6,6.3,2.7,-0.8,1.9,0.6,5
42,Jaren Jackson,C,20,MEM,14,14,371,9.3,19.9,0.469,3.1,7.8,0.397,6.2,12.1,0.515,3.4,4.2,0.794,2.6,6.2,8.8,2,1,1.6,3.4,6.7,25.1,105,113,https://www.basketball-reference.com/players/j/jacksja02.html,14.1,0.577,0.394,0.213,6,14.5,10.2,6.5,1,3.1,13.4,22.5,0.2,0.2,0.4,0.053,-0.4,-1.6,-2,0,"$6,927,480 ",Grizzlies,371,-1.9,-1.1,-3,-0.3,-8.3,-8.6,-1.7,-2.3,-3.9,-0.2,2
44,JJ Redick,SG,35,NOP,16,12,444,7.6,17.1,0.446,5.6,11.8,0.47,2.1,5.3,0.392,4.1,4.8,0.851,0.4,4.3,4.7,3.1,0.7,0.5,2.5,2.7,24.9,120,118,https://www.basketball-reference.com/players/r/redicjj01.html,15.2,0.65,0.694,0.287,1,9.9,5.3,9.3,0.8,1,12,19.4,0.9,0,0.9,0.101,2.8,-3.1,-0.3,0.2,"$13,486,300 ",Pelicans,444,2.2,-2.8,-0.6,1.7,-2.6,-0.9,2.2,-2.8,-0.7,0.5,2
48,Jonas Valanciunas,C,27,MEM,15,15,352,9.7,18.3,0.529,1,3.1,0.333,8.6,15.2,0.569,2.9,3,0.957,3.9,13.6,17.6,3.8,0.4,1.2,4.3,5.1,23.3,106,111,https://www.basketball-reference.com/players/v/valanjo01.html,16.7,0.593,0.171,0.164,9,31.8,20.4,12.6,0.4,2.2,18,21.5,0.3,0.2,0.6,0.075,-1.5,-0.2,-1.7,0,"$16,000,000 ",Grizzlies,352,-2.1,0.8,-1.3,0.1,-0.2,-0.1,-1.8,0.7,-1.1,0.3,9
50,Jordan McLaughlin,PG,23,MIN,4,0,57,3.2,12.1,0.267,0.8,6.4,0.125,2.4,5.6,0.429,1.6,1.6,1,0.8,4.8,5.6,6.4,0.8,0,3.2,3.2,8.9,79,113,https://www.basketball-reference.com/players/m/mclaujo01.html,2.9,0.346,0.533,0.133,1.8,10.7,6.2,18.3,0.8,0,20.1,14.1,-0.1,0,-0.1,-0.067,-6.4,-1.9,-8.3,-0.1,0,Timberwolves,57,-8.6,-4.6,-13.2,-11.8,-4.8,-16.6,-9.6,-4.9,-14.5,-0.3,3
53,Juancho Hernangomez,PF,24,DEN,8,0,111,4.9,10.6,0.458,2.7,6.7,0.4,2.2,4,0.556,0.9,2.2,0.4,1.8,6.7,8.4,1.8,0,0.9,2.2,1.8,13.3,102,107,https://www.basketball-reference.com/players/h/hernaju01.html,10.1,0.573,0.625,0.208,4,14.7,9.3,5.5,0,1.8,10.3,12.3,0.1,0.1,0.2,0.094,-1.9,-0.3,-2.3,0,"$3,321,030 ",Nuggets,111,-1.4,-0.4,-1.8,1.6,2.9,4.5,-0.9,0.1,-0.9,0.1,1
55,Kelan Martin,SF,24,MIN,6,0,101,6.4,18.2,0.35,1.8,10,0.182,4.5,8.2,0.556,0,0,0,0.9,8.2,9.1,0.5,0.5,0.5,1.4,6.8,14.5,80,111,https://www.basketball-reference.com/players/m/martike03.html,2.9,0.4,0.55,0,2,18.1,10,1.4,0.5,0.8,7,17.3,-0.2,0.1,-0.1,-0.054,-6.9,-3.3,-10.2,-0.2,0,Timberwolves,101,-3.7,-3.5,-7.2,-11.2,5.2,-6,-5.1,-2.2,-7.3,-0.2,3
56,Kelly Oubre Jr.,SF,24,PHO,16,16,500,9,19.7,0.455,2.1,6.4,0.324,6.9,13.4,0.517,6.3,7.6,0.827,2.2,6.6,8.8,2.6,2.1,0.8,2.4,4.5,26.3,110,106,https://www.basketball-reference.com/players/o/oubreke01.html,17.5,0.58,0.322,0.397,5,16.3,10.6,8.6,2.1,1.7,9.7,23.2,0.7,0.7,1.4,0.145,0.6,0.6,1.2,0.4,"$15,625,000 ",Suns,500,1.1,2.2,3.3,-0.1,-2.4,-2.5,0.9,1.6,2.5,1.3,5
58,Kevin Knox II,SF,20,NYK,17,1,345,6.2,16.2,0.386,3.3,8.5,0.383,3,7.7,0.389,3.7,5.7,0.65,1.3,6.1,7.4,3.7,1.4,0.6,1.7,4.3,19.5,109,113,https://www.basketball-reference.com/players/k/knoxke01.html,12,0.521,0.518,0.345,2.7,13.7,7.9,10.8,1.3,0.9,8.7,18,0.3,0.1,0.4,0.063,-0.9,-1.8,-2.7,-0.1,"$4,380,120 ",Knicks,345,-1,-3.3,-4.3,-5.3,-2.2,-7.4,-1.7,-3.2,-4.9,-0.4,2
59,Kevin Porter Jr.,SF,19,CLE,15,1,307,6,15.1,0.396,1.3,5.2,0.242,4.7,9.9,0.476,2.8,3.6,0.783,0.8,5.8,6.6,3.6,1.7,0.6,3,6.1,16,92,113,https://www.basketball-reference.com/players/p/porteke02.html,8,0.481,0.344,0.24,1.7,13.2,7.4,11.4,1.7,1.1,15.2,17.5,-0.2,0.2,-0.1,-0.01,-3.4,-0.4,-3.8,-0.1,"$1,290,960 ",Cavaliers,307,-2.7,-3.8,-6.5,-9.8,-4,-13.8,-4,-3.9,-7.9,-0.8,3
62,Kristaps Porzingis,PF,24,DAL,15,15,469,10.3,24.8,0.416,3.5,9.4,0.37,6.8,15.4,0.444,4.2,5.8,0.719,2.7,11.3,14,2.5,0.6,3.4,2.6,4.8,28.3,105,105,https://www.basketball-reference.com/players/p/porzikr01.html,17,0.509,0.385,0.235,5.5,23.7,14.9,7.3,0.4,6.1,8.8,26.6,0.2,0.6,0.8,0.09,-2.5,0.3,-2.2,0,"$27,285,000 ",Mavericks,469,-1.9,0.6,-1.2,-4,3.9,-0.1,-2.5,1.2,-1.3,0.4,6
63,Ky Bowman,PG,22,GSW,17,5,355,7.6,16.1,0.471,2.3,5.3,0.425,5.3,10.8,0.494,1.1,1.2,0.889,0.8,4.1,4.9,5.4,2.3,0.1,2.1,4.1,18.5,109,116,https://www.basketball-reference.com/players/b/bowmaky01.html,13,0.556,0.331,0.074,1.8,9.5,5.6,17.7,2.3,0.2,11.4,16.6,0.3,0,0.3,0.046,-0.4,-2.4,-2.7,-0.1,0,Warriors,355,-1.3,-2.4,-3.8,2.9,0.7,3.6,-0.7,-1.9,-2.6,0,2
64,Larry Nance Jr.,C,27,CLE,14,2,355,7.2,13.7,0.525,2,5.6,0.366,5.2,8.2,0.633,2.4,3.4,0.72,3.5,9.8,13.3,2.4,2.2,0.7,1.8,3.4,18.9,123,109,https://www.basketball-reference.com/players/n/nancela02.html,17.9,0.621,0.406,0.248,7.7,22.3,14.8,8,2.2,1.2,10.4,15.1,0.8,0.3,1.1,0.144,1.8,0.8,2.6,0.4,"$12,727,273 ",Cavaliers,355,0.4,-2.1,-1.8,-3,-7.3,-10.3,-0.2,-3.1,-3.2,-0.1,9
65,Lonnie Walker IV,SG,21,SAS,10,0,49,4.8,16.4,0.294,0,1.9,0,4.8,14.5,0.333,1,6.8,0.143,1,7.7,8.7,3.9,0,1,2.9,4.8,10.6,61,116,https://www.basketball-reference.com/players/w/walkelo01.html,-1.7,0.274,0.118,0.412,2.1,17.8,9.8,10.4,0,1.7,13,19.8,-0.2,0,-0.2,-0.212,-11,-2.8,-13.7,-0.1,"$2,760,480 ",Spurs,49,-4.8,-3,-7.8,-7.8,7.6,-0.3,-5.5,-1.3,-6.9,-0.1,3
66,Luka Doncic,PG,20,DAL,16,16,543,14.2,28.7,0.495,4.6,13.2,0.347,9.6,15.5,0.623,10.2,12.5,0.817,2,12.3,14.3,13.8,1.9,0.3,6.4,3.5,43.3,123,106,https://www.basketball-reference.com/players/d/doncilu01.html,33.2,0.632,0.459,0.453,4.9,26.5,16,48.8,1.9,0.3,15.9,35.1,2.7,0.7,3.4,0.321,11.8,2.3,14.1,2.1,"$7,683,360 ",Mavericks,543,11.9,1.5,13.4,7.3,-5.3,2,11.5,0.5,11.9,4.1,0
67,Marcus Morris Sr.,SF,30,NYK,17,17,574,9,21.3,0.42,4.3,8.4,0.51,4.7,13,0.362,5.8,6.9,0.84,1.7,7.4,9.1,2,1.5,0.9,3,4.5,28,111,111,https://www.basketball-reference.com/players/m/morrima03.html,16.1,0.564,0.386,0.339,3.3,17.6,10,7.1,1.5,2,10.7,23.5,0.7,0.4,1.1,0.099,0,-1.3,-1.3,0.1,"$15,000,000 ",Knicks,574,1.1,1,2.1,4.1,0.1,4.2,1.7,1,2.7,1.6,5
70,Michael Porter Jr.,PF,21,DEN,10,0,90,8.2,18.6,0.441,1.1,5.5,0.2,7.1,13.1,0.542,2.7,4.4,0.625,4.4,8.2,12.6,2.2,0,1.6,3.3,7.1,20.2,97,105,https://www.basketball-reference.com/players/p/portemi01.html,10.7,0.493,0.281,0.25,10.1,19.6,14.7,5.6,0,3.4,14.5,21.7,0,0.1,0.1,0.046,-4.7,-0.8,-5.4,-0.1,"$3,389,400 ",Nuggets,90,-4.2,-1.5,-5.6,-10.1,-5.5,-15.6,-5.4,-2.3,-7.6,-0.2,6
72,Naz Mitrou-Long,SG,26,IND,3,0,43,6.7,18,0.375,2.2,12.4,0.182,4.5,5.6,0.8,0,0,0,0,6.7,6.7,7.9,1.1,1.1,2.2,1.1,15.7,95,104,https://www.basketball-reference.com/players/m/mitrona01.html,10.6,0.438,0.688,0,0,15,7.5,22.3,1.1,2.1,11.1,18,0,0.1,0,0.048,-2.4,0,-2.4,0,0,Pacers,43,-0.5,6.5,6.1,-0.7,13.8,13.1,-0.5,8,7.5,0.2,1
73,Nicolo Melli,C,29,NOP,15,3,254,6.1,13.1,0.466,3.4,8.8,0.388,2.7,4.3,0.625,2.9,3.6,0.8,2,6.5,8.5,3.8,1.6,0.4,2.2,5.4,18.5,122,115,https://www.basketball-reference.com/players/m/mellini01.html,14.7,0.646,0.657,0.299,4.7,15.2,9.8,11.8,1.7,0.7,13.7,15,0.5,0.1,0.6,0.124,2,-1.2,0.8,0.2,"$3,902,439 ",Pelicans,254,-0.3,-2.1,-2.4,-3.4,-3.7,-7.1,-0.9,-2.4,-3.3,-0.1,2
74,Nikola Jokic,C,24,DEN,15,15,465,10.7,23,0.465,1.7,7,0.242,9,16,0.563,3.4,4.3,0.78,3.4,12.1,15.5,9.6,2,0.8,4,5.3,26.5,109,99,https://www.basketball-reference.com/players/j/jokicni01.html,21.1,0.535,0.313,0.197,6.7,26,16.1,33,1.9,1.7,14.1,26.1,0.6,0.9,1.5,0.172,3.1,3.5,6.5,0.9,"$26,573,595 ",Nuggets,465,1.5,-1.1,0.4,3.3,-1.3,2,1.8,-1.3,0.5,0.8,4
75,Nikola Vucevic,C,29,ORL,14,14,431,10.8,24.1,0.45,1.8,5.7,0.32,9,18.4,0.491,3.8,4.4,0.846,4.7,13.8,18.5,5.6,1,1.7,2.3,3.1,27.3,112,103,https://www.basketball-reference.com/players/v/vucevni01.html,22.3,0.524,0.237,0.185,9.6,31,19.8,20.1,1,3,8.1,24.9,0.8,0.7,1.5,0.166,1.7,2.6,4.3,0.7,"$28,000,000 ",Magic,431,-0.9,2,1.2,6.6,-0.3,6.3,0.4,1.7,2.1,1.1,4
77,Otto Porter Jr.,SF,26,CHI,9,9,226,7.2,17.4,0.417,3.3,8.3,0.4,3.9,9.1,0.432,3.1,4.1,0.75,1.7,4.8,6.4,2.9,1.9,0.6,1.4,4.1,20.9,111,109,https://www.basketball-reference.com/players/p/porteot01.html,13.7,0.544,0.476,0.238,3.5,11,7.1,9.4,1.9,1.3,7,18.2,0.3,0.2,0.5,0.104,0.1,-0.4,-0.3,0.1,"$27,250,576 ",Bulls,226,0.5,0.4,0.9,2,-3.7,-1.7,0.8,-0.3,0.6,0.4,8
78,PJ Washington,PF,21,CHO,17,17,478,7.1,14.7,0.486,2.5,5.2,0.481,4.6,9.4,0.489,2.3,3.5,0.657,1.5,7.4,8.9,2.7,1.9,1.4,2.3,4.3,19.1,110,111,https://www.basketball-reference.com/players/w/washipj01.html,14.1,0.589,0.356,0.24,3.4,17.8,10.3,8.6,1.9,2.6,12.5,16.6,0.5,0.4,0.8,0.083,-0.8,0.7,-0.1,0.2,"$3,831,840 ",Hornets,478,-1.9,-2.4,-4.3,-1.9,-0.7,-2.6,-1.9,-2.2,-4.1,-0.3,2
80,Robert Williams,C,22,BOS,13,1,184,6.5,8.3,0.781,0,0,0,6.5,8.3,0.781,1.6,2.9,0.545,3.6,12,15.6,5.2,2.9,4.2,2.9,7,14.6,131,94,https://www.basketball-reference.com/players/w/williro04.html,21,0.76,0,0.344,7.7,25.1,16.5,15.7,2.9,7.8,23,11.1,0.4,0.5,0.9,0.246,0,8.2,8.2,0.5,"$1,937,520 ",Celtics,184,-0.7,0.7,0.1,6.6,-8,-1.4,0.5,-0.7,-0.3,0.2,4
81,Skal Labissiere,C,23,POR,17,0,276,7.9,14,0.566,0.3,1,0.333,7.6,13,0.584,2.2,3.4,0.65,5.7,7.9,13.7,3.4,0.7,3.2,3.4,7.3,18.4,115,110,https://www.basketball-reference.com/players/l/labissk01.html,17.1,0.594,0.072,0.241,12.4,17.3,14.8,10.6,0.7,5.6,17.9,16.8,0.5,0.2,0.7,0.118,-0.8,2.2,1.4,0.2,"$2,338,847 ",Trail Blazers,276,-1,-1,-2,-0.8,-0.9,-1.7,-1,-1.1,-2.1,0.1,9
82,Sviatoslav Mykhailiuk,SF,22,DET,11,0,170,4.2,10.2,0.417,3.7,7.6,0.481,0.6,2.5,0.222,0.6,0.6,1,0.3,2.8,3.1,4.2,0.8,0.3,3.1,2.8,12.7,102,115,https://www.basketball-reference.com/players/m/mykhasv01.html,7,0.61,0.75,0.056,0.7,6.8,3.7,12.2,0.8,0.5,23,12.2,0,0,0.1,0.017,-1.7,-2.7,-4.4,-0.1,"$1,416,852 ",Pistons,170,-2.6,-3,-5.5,3.9,-0.1,3.8,-1.6,-2.6,-4.3,-0.1,8
84,Taurean Waller-Prince,SF,25,BRK,16,16,478,7.1,17.5,0.403,4,10.3,0.387,3.1,7.3,0.427,1.7,2.4,0.72,1.3,8.6,9.9,2.6,1.4,0.5,3.3,4.3,19.8,97,109,https://www.basketball-reference.com/players/p/princta02.html,10.3,0.537,0.593,0.15,2.8,18.1,10.6,7.2,1.4,0.9,15.2,19.4,-0.1,0.4,0.3,0.032,-2,-0.6,-2.6,-0.1,"$3,481,986 ",Nets,478,-1.8,1.2,-0.7,3.1,-1,2.1,-1.1,0.9,-0.2,0.6,6
85,Tim Hardaway,SG,27,DAL,16,3,367,8.8,21.4,0.409,4.7,12.8,0.367,4,8.6,0.47,3.8,5,0.763,0.7,3.7,4.3,4.2,0.5,0.3,0.9,4,26,118,114,https://www.basketball-reference.com/players/h/hardati02.html,12.6,0.526,0.596,0.212,1,8,4.6,11.7,0.3,0.5,3.6,21.3,0.5,0.1,0.6,0.093,0.9,-3.9,-3.1,-0.1,"$18,150,000 ",Mavericks,367,2.9,-0.2,2.7,3.8,4.1,7.9,3,0.5,3.5,1.2,8
